"","State","Account_Length","Area_Code","Phone","Intl_Plan","Vmail_Plan","Vmail_Message","Day_Mins","Day_Calls","Eve_Mins","Eve_Calls","Night_Mins","Night_Calls","Intl_Mins","Intl_Calls","CustServ_Calls","Churn","Mahalanobis","Outlier"
"1","KS",128,"415","382-4657","no","yes",25,265.1,110,197.4,99,244.7,91,10,3,1,"False.",6.51576749592364,FALSE
"2","OH",107,"415","371-7191","no","yes",26,161.6,123,195.5,103,254.4,103,13.7,3,1,"False.",6.70922267553654,FALSE
"3","NJ",137,"415","358-1921","no","no",0,243.4,114,121.2,110,162.6,104,12.2,5,0,"False.",8.52151000036061,FALSE
"5","OK",75,"415","330-6626","yes","no",0,166.7,113,148.3,122,186.9,121,10.1,3,3,"False.",6.73723449324861,FALSE
"6","AL",118,"510","391-8027","yes","no",0,223.4,98,220.6,101,203.9,118,6.3,6,0,"False.",6.48079968859185,FALSE
"7","MA",121,"510","355-9993","no","yes",24,218.2,88,348.5,108,212.6,118,7.5,7,3,"False.",17.3592239073893,FALSE
"8","MO",147,"415","329-9001","yes","no",0,157,79,103.1,94,211.8,96,7.1,6,0,"False.",11.1888769289938,FALSE
"9","LA",117,"408","335-4719","no","no",0,184.5,97,351.6,80,215.8,90,8.7,4,1,"False.",11.7843257005052,FALSE
"10","WV",141,"415","330-8173","yes","yes",37,258.6,84,222,111,326.4,97,11.2,5,0,"False.",17.1771579727426,FALSE
"11","IN",65,"415","329-6603","no","no",0,129.1,137,228.5,83,208.8,111,12.7,6,4,"True.",13.3291220830304,FALSE
"12","RI",74,"415","344-9403","no","no",0,187.7,127,163.4,148,196,94,9.1,5,0,"False.",11.7785627590185,FALSE
"13","IA",168,"408","363-1107","no","no",0,128.8,96,104.9,71,141.1,128,11.2,2,1,"False.",15.8571785142625,FALSE
"14","MT",95,"510","394-8006","no","no",0,156.6,88,247.6,75,192.3,115,12.3,5,3,"False.",6.59925204334311,FALSE
"15","IA",62,"415","366-9238","no","no",0,120.7,70,307.2,76,203,99,13.1,6,4,"False.",16.8038406319774,FALSE
"17","ID",85,"408","350-8884","no","yes",27,196.4,139,280.9,90,89.3,75,13.8,4,1,"False.",17.691210072008,FALSE
"18","VT",93,"510","386-2923","no","no",0,190.7,114,218.2,111,129.6,121,8.1,3,3,"False.",7.32812713091369,FALSE
"19","VA",76,"510","356-2992","no","yes",33,189.7,66,212.8,65,165.7,108,10,5,1,"False.",11.8614800500606,FALSE
"20","TX",73,"415","373-2782","no","no",0,224.4,90,159.5,88,192.8,74,13,2,1,"False.",7.18716429208106,FALSE
"21","FL",147,"415","396-5800","no","no",0,155.1,117,239.7,93,208.8,133,10.6,4,0,"False.",8.07411525139554,FALSE
"24","SC",111,"415","350-2565","no","no",0,110.4,103,137.3,102,189.6,105,7.7,6,2,"False.",5.45779874797243,FALSE
"25","VA",132,"510","343-4696","no","no",0,81.1,86,245.2,72,237,115,10.3,2,0,"False.",12.2871315180585,FALSE
"26","NE",174,"415","331-3698","no","no",0,124.3,76,277.1,112,250.7,115,15.5,5,3,"False.",17.310831115,FALSE
"27","WY",57,"408","357-3817","no","yes",39,213,115,191.1,112,182.7,115,9.5,3,0,"False.",10.8732720740763,FALSE
