"","State","Account_Length","Area_Code","Phone","Intl_Plan","Vmail_Plan","Vmail_Message","Day_Mins","Day_Calls","Eve_Mins","Eve_Calls","Night_Mins","Night_Calls","Intl_Mins","Intl_Calls","CustServ_Calls","Churn","Mahalanobis","Outlier","Test_Split"
"1","KS",128,"415","382-4657","no","yes",25,265.1,110,197.4,99,244.7,91,10,3,1,"False.",6.25111463220941,FALSE,0.287577520124614
"2","OH",107,"415","371-7191","no","yes",26,161.6,123,195.5,103,254.4,103,13.7,3,1,"False.",6.70143366439313,FALSE,0.788305135443807
"3","NJ",137,"415","358-1921","no","no",0,243.4,114,121.2,110,162.6,104,12.2,5,0,"False.",8.47239575522785,FALSE,0.4089769218117
"5","OK",75,"415","330-6626","yes","no",0,166.7,113,148.3,122,186.9,121,10.1,3,3,"False.",6.66836207262184,FALSE,0.883017404004931
"6","AL",118,"510","391-8027","yes","no",0,223.4,98,220.6,101,203.9,118,6.3,6,0,"False.",6.61829594044253,FALSE,0.940467284293845
"8","MO",147,"415","329-9001","yes","no",0,157,79,103.1,94,211.8,96,7.1,6,0,"False.",11.3519287955319,FALSE,0.528105488047004
"9","LA",117,"408","335-4719","no","no",0,184.5,97,351.6,80,215.8,90,8.7,4,1,"False.",11.4534307687477,FALSE,0.892419044394046
"10","WV",141,"415","330-8173","yes","yes",37,258.6,84,222,111,326.4,97,11.2,5,0,"False.",17.2627805323591,FALSE,0.551435014465824
"11","IN",65,"415","329-6603","no","no",0,129.1,137,228.5,83,208.8,111,12.7,6,4,"True.",13.3992696221647,FALSE,0.456614735303447
"12","RI",74,"415","344-9403","no","no",0,187.7,127,163.4,148,196,94,9.1,5,0,"False.",11.177454221862,FALSE,0.956833345349878
"13","IA",168,"408","363-1107","no","no",0,128.8,96,104.9,71,141.1,128,11.2,2,1,"False.",15.3872549383122,FALSE,0.453334156190977
"14","MT",95,"510","394-8006","no","no",0,156.6,88,247.6,75,192.3,115,12.3,5,3,"False.",6.30551452680274,FALSE,0.677570635452867
"15","IA",62,"415","366-9238","no","no",0,120.7,70,307.2,76,203,99,13.1,6,4,"False.",16.3875902052348,FALSE,0.572633401956409
"17","ID",85,"408","350-8884","no","yes",27,196.4,139,280.9,90,89.3,75,13.8,4,1,"False.",17.7429825775567,FALSE,0.102924682665616
"18","VT",93,"510","386-2923","no","no",0,190.7,114,218.2,111,129.6,121,8.1,3,3,"False.",7.02948239441527,FALSE,0.899824970401824
"19","VA",76,"510","356-2992","no","yes",33,189.7,66,212.8,65,165.7,108,10,5,1,"False.",11.6180097679267,FALSE,0.24608773435466
"21","FL",147,"415","396-5800","no","no",0,155.1,117,239.7,93,208.8,133,10.6,4,0,"False.",7.70630991818049,FALSE,0.327920719282702
"24","SC",111,"415","350-2565","no","no",0,110.4,103,137.3,102,189.6,105,7.7,6,2,"False.",5.5962327615752,FALSE,0.954503649147227
"25","VA",132,"510","343-4696","no","no",0,81.1,86,245.2,72,237,115,10.3,2,0,"False.",11.7914774296618,FALSE,0.889539316063747
"26","NE",174,"415","331-3698","no","no",0,124.3,76,277.1,112,250.7,115,15.5,5,3,"False.",16.3703682742594,FALSE,0.6928034061566
"27","WY",57,"408","357-3817","no","yes",39,213,115,191.1,112,182.7,115,9.5,3,0,"False.",10.619001556568,FALSE,0.640506813768297
"28","MT",54,"408","418-6412","no","no",0,134.3,73,155.5,100,102.1,68,14.7,4,3,"False.",15.3386266370151,FALSE,0.994269776623696
"29","MO",20,"415","353-2630","no","no",0,190,109,258.2,84,181.5,102,6.3,6,0,"False.",11.2669172555075,FALSE,0.655705799115822
"30","HI",49,"510","410-7789","no","no",0,119.3,117,215.1,109,178.7,90,11.1,1,1,"False.",7.70363744067035,FALSE,0.708530468167737
"32","NH",75,"510","370-3359","no","no",0,226.1,105,201.5,107,246.2,98,10.3,5,1,"False.",2.83182232032386,FALSE,0.544066024711356
"34","AZ",12,"408","360-1596","no","no",0,249.6,118,252.4,119,280.2,90,11.8,3,1,"True.",13.9165368075165,FALSE,0.59414202044718
"35","OK",57,"408","395-2854","no","yes",25,176.8,94,195,75,213.5,116,8.3,4,0,"False.",7.53598198318796,FALSE,0.28915973729454
"36","GA",72,"415","362-1407","no","yes",37,220,80,217.3,102,152.8,71,14.7,6,3,"False.",14.9284287300522,FALSE,0.147113647311926
"37","AK",36,"408","341-9764","no","yes",30,146.3,128,162.5,80,129.3,109,14.5,6,0,"False.",16.6601113535198,FALSE,0.963024232536554
